EmpID,Age,Attrition,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,PerformanceRating,YearsAtCompany
RM297,18,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,3,1420,3,0
RM302,18,No,Travel_Rarely,Sales,3,Medical,Female,1,Sales Representative,3,1200,3,0
RM458,18,Yes,Travel_Frequently,Sales,3,Marketing,Male,1,Sales Representative,2,1878,3,0
RM728,18,No,Non-Travel,Research & Development,2,Life Sciences,Male,1,Research Scientist,4,1051,3,0
RM829,18,Yes,Non-Travel,Research & Development,1,Medical,Male,1,Laboratory Technician,3,1904,3,0
RM973,18,No,Non-Travel,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,4,1611,3,0
RM1154,18,Yes,Travel_Frequently,Sales,2,Medical,Female,1,Sales Representative,4,1569,3,0
RM1312,18,No,Non-Travel,Research & Development,3,Medical,Female,1,Research Scientist,3,1514,3,0
RM128,19,Yes,Travel_Rarely,Sales,1,Marketing,Male,1,Sales Representative,3,1675,3,0
RM150,19,No,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,2,1483,3,1
RM172,19,Yes,Travel_Frequently,Sales,1,Technical Degree,Female,1,Sales Representative,1,2325,4,0
RM178,19,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,4,1102,4,1
RM423,19,Yes,Travel_Rarely,Human Resources,2,Technical Degree,Male,1,Human Resources,4,2564,3,1
RM689,19,Yes,Travel_Rarely,Sales,3,Other,Male,1,Sales Representative,2,2121,3,1
RM854,19,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,1,2552,4,1
RM893,19,Yes,Non-Travel,Research & Development,3,Medical,Female,1,Research Scientist,2,1859,4,1
RM910,19,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,4,2994,3,1
RM103,20,Yes,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,4,2926,3,1
RM488,20,No,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Research Scientist,2,2836,3,1
RM514,20,Yes,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,3,1009,3,1
RM663,20,Yes,Travel_Rarely,Sales,3,Medical,Female,1,Sales Representative,3,2044,3,2
RM690,20,Yes,Travel_Rarely,Research & Development,3,Technical Degree,Male,1,Laboratory Technician,1,2973,3,1
RM732,20,Yes,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,1,2600,3,1
RM777,20,Yes,Travel_Frequently,Sales,3,Marketing,Female,1,Sales Representative,4,2323,3,2
RM857,20,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,3,3033,3,2
RM877,20,No,Travel_Rarely,Sales,3,Marketing,Male,1,Sales Representative,4,2678,3,2
RM1179,20,No,Travel_Rarely,Sales,3,Medical,Female,1,Sales Representative,3,2783,3,2
RM1198,20,No,Travel_Rarely,Sales,1,Life Sciences,Male,1,Sales Representative,1,2728,3,2
RM024,21,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,4,1232,3,0
RM275,21,No,Travel_Rarely,Research & Development,2,Medical,Male,1,Research Scientist,3,3230,3,3
RM358,21,Yes,Travel_Frequently,Sales,1,Technical Degree,Female,1,Sales Representative,2,2174,3,3
RM363,21,No,Non-Travel,Sales,2,Medical,Male,1,Sales Representative,4,2610,4,3
RM371,21,Yes,Travel_Rarely,Sales,3,Life Sciences,Female,1,Sales Representative,2,2716,3,1
RM497,21,No,Travel_Rarely,Sales,1,Technical Degree,Male,1,Sales Representative,3,3447,3,3
RM664,21,Yes,Travel_Rarely,Research & Development,1,Other,Female,1,Research Scientist,4,2693,3,1
RM778,21,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Laboratory Technician,1,1416,3,1
RM816,21,No,Travel_Rarely,Research & Development,1,Technical Degree,Female,1,Research Scientist,2,2070,3,2
RM916,21,Yes,Travel_Frequently,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,3,2625,4,2
RM1153,21,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,3117,3,2
RM1272,21,Yes,Travel_Rarely,Sales,1,Marketing,Male,1,Sales Representative,2,2679,3,1
RM1437,21,No,Travel_Rarely,Sales,1,Medical,Male,1,Sales Representative,1,2380,3,2
RM018,22,No,Non-Travel,Research & Development,2,Medical,Male,1,Laboratory Technician,4,2935,3,1
RM110,22,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Laboratory Technician,4,2871,3,0
RM129,22,No,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Laboratory Technician,4,2523,3,2
RM161,22,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,4,2323,4,2
RM207,22,No,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Research Scientist,2,2328,3,4
RM384,22,No,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,2,2244,3,2
RM444,22,Yes,Travel_Frequently,Research & Development,1,Technical Degree,Male,1,Laboratory Technician,3,3894,3,2
RM499,22,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Research Scientist,3,2773,4,2
RM631,22,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,2,Manufacturing Director,4,4775,4,2
RM667,22,Yes,Travel_Rarely,Research & Development,1,Life Sciences,Female,2,Manufacturing Director,3,4171,3,3
RM735,22,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,1,2451,3,4
RM861,22,Yes,Travel_Frequently,Research & Development,4,Life Sciences,Male,1,Research Scientist,4,2853,3,0
RM1138,22,No,Non-Travel,Research & Development,2,Other,Female,1,Research Scientist,3,2814,3,4
RM1274,22,Yes,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,1,2398,3,1
RM1340,22,Yes,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Research Scientist,2,2472,4,1
RM1424,22,No,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Research Scientist,3,3375,3,3
RM087,23,No,Travel_Rarely,Sales,1,Technical Degree,Male,1,Sales Representative,1,2322,3,0
RM346,23,No,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Research Scientist,4,2904,3,4
RM517,23,No,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,1,2819,3,3
RM551,23,No,Travel_Rarely,Research & Development,1,Medical,Male,1,Laboratory Technician,1,2500,3,4
